Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-05-11,969168.5953532438,984535.9091311657,932190.6911125452,1066518.0731658083,1106708.0803163128,1032112.5518444699,1148477.9379519462
2018-05-14,971792.4328524591,988174.6651637707,932564.3326013549,1067026.061547299,1108601.698060275,1032017.4240244906,1159998.714134784
2018-05-15,973232.7566092467,990210.3816774518,932688.9130420629,1059677.7642641785,1096323.4273527164,1025918.714906154,1151866.6945183834
2018-05-16,974167.8263122395,991512.8062381904,932813.5101253613,1064133.6846106309,1103572.912722284,1028039.4257302703,1146226.8444709284
2018-05-17,973490.766935168,990471.5905819118,932938.1238534733,1063234.4233443378,1099327.6571976335,1026970.7442569886,1135054.6398727016
2018-05-18,971419.9492011488,987404.9700810135,933062.7542286227,1060576.6216706214,1093646.4894635465,1026486.3919605245,1141750.817594403
2018-05-21,975290.5522720604,992857.6116835071,933436.745258534,1068550.4978615958,1099785.1530640263,1031155.9000859449,1149135.4964153918
2018-05-22,976499.4576673391,994558.8829199797,933561.4422440737,1065579.8394239775,1098348.1925139243,1029435.8810613576,1133796.9486456357
2018-05-23,978119.238062984,996858.7086577702,933686.155887773,1068511.5926960332,1107622.023708433,1032269.4079704505,1113433.163461945
2018-05-24,979826.8480725132,999287.8153969656,933810.8861918572,1066322.4703783945,1107295.3607570857,1032134.3277570427,1114841.9677768555
2018-05-25,981692.1032326464,1001948.1782450661,933935.6331585519,1063781.9226811663,1108405.5535217738,1031555.5804885362,1110220.818773052
2018-05-29,983989.4360854309,1005064.6408046689,934434.7876959591,1051547.055831403,1103507.7059328945,1027158.8778068112,1110700.9950344968
2018-05-30,985126.5519906805,1006666.3423524671,934559.6180091015,1065579.8394239773,1111409.888200757,1034344.69277783,1107858.7393981933
2018-05-31,986919.5515810108,1009226.1418161466,934684.4649982145,1059051.9161164241,1110691.565176806,1030193.1895657568,1111895.5093550258
